,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatto_subito,gol_su_rigore,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,assist_su_rigore,yyss
4695,8,gyasi e,spezia,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2556,8,medel g,bologna,C,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2571,8,hetemaj p,benevento,C,6.0,6.5,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
1230,8,lirola p,fiorentina,D,5.0,5.5,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
5476,8,sanchez a,inter,A,11.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020-21
1525,8,caldirola l,benevento,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1474,8,b peres,roma,D,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2814,8,ilic i,verona,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2815,8,cyprien w,parma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2881,8,pobega t,spezia,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1214,8,singo w,torino,D,7.0,7.5,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
1522,8,gagliolo r,parma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1165,8,biraschi d,genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4503,8,zapata d,atalanta,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4666,8,dybala p,juventus,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
5441,8,mayoral b,roma,A,11.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020-21
2595,8,castrovilli g,fiorentina,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1211,8,letizia g,benevento,D,5.5,6.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
5291,8,riviere e,crotone,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
5445,8,gervinho,parma,A,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4516,8,simy n,crotone,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
5429,8,rebic a,milan,A,7.5,7.0,0.0,0.0,-0.5,0.0,0.0,0.0,1.0,0.0,2020-21
4479,8,ricci mt,spezia,C,5.5,6.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
2917,8,chiesa f,juventus,C,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1244,8,rogerio o,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2793,8,traore j,sassuolo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4689,8,insigne l,napoli,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2954,8,ounas a,cagliari,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4688,8,okaka s,udinese,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1081,8,zappa g,cagliari,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
5415,8,sau m,benevento,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4460,8,sohm s,parma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2946,8,pereira a,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1259,8,cuadrado j,juventus,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2707,8,linetty k,torino,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1545,8,calabria d,milan,D,6.0,6.5,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
1092,8,colley o,sampdoria,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4466,8,verdi s,torino,C,6.0,6.5,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
4684,8,destro m,genoa,A,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
5305,8,palacio r,bologna,A,6.0,6.5,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
2803,8,silva a,sampdoria,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2939,8,bastoni s,spezia,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
5491,8,politano m,napoli,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1468,8,tomiyasu t,bologna,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2566,8,kurtic j,parma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4653,8,di carmine s,verona,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3110,8,de roon m,atalanta,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
