,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss
11533,16,montella,fiorentina,0,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
7762,16,radovanovic i,genoa,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2307,16,florenzi a,roma,D,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
1567,16,colley o,sampdoria,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
7790,16,ramirez g,sampdoria,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
1986,16,depaoli f,sampdoria,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9748,16,kalinic n,roma,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9808,16,lapadula g,lecce,A,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2639,16,igor j,spal,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5384,16,castrovilli g,fiorentina,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
925,16,ansaldi c,torino,D,14.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,2019-20
7382,16,obiang p,sassuolo,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7385,16,oliva c,cagliari,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2269,16,ferrari a,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6544,16,kulusevski d,parma,C,11.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,2019-20
40,16,audero e,sampdoria,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4331,16,toloi r,atalanta,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9794,16,la mantia a,lecce,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8525,16,veloso m,verona,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
910,16,ankersen p,genoa,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2282,16,ferrari g,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7456,16,pasalic m,atalanta,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2592,16,iacoponi s,parma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
899,16,alves b,parma,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1918,16,dell orco c,lecce,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
701,16,strakosha t,lazio,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
7508,16,pellegrini lo,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8500,16,vecino m,inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4303,16,toljan j,sassuolo,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
4022,16,rui m,napoli,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7549,16,perotti d,roma,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
7350,16,ndoj e,brescia,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11615,16,ranieri,sampdoria,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
467,16,pau lopez,roma,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
9565,16,gervinho,parma,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2019-20
781,16,acerbi f,lazio,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2416,16,godin d,inter,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8315,16,thorsby m,sampdoria,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3694,16,pezzella giu,parma,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11574,16,pioli,milan,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8078,16,shakhov y,lecce,C,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
8286,16,tachtsidis p,lecce,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5256,16,calhanoglu h,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
