,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss,gol_fatto_subito,gol_su_rigore,assist,assist_da_fermo
10239,24,schick p,roma,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
1951,24,de vrij s,lazio,D,9.0,6.5,3.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
8718,24,cutrone p,milan,A,13.5,7.5,6.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
4091,24,toloi r,atalanta,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
8530,24,budimir a,crotone,A,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
783,24,abate i,milan,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
8885,24,dzeko e,roma,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
1911,24,de silvestri l,torino,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
4558,24,barak a,udinese,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
3859,24,samir,udinese,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
10267,24,silva a,milan,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
1290,24,bonucci l,milan,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
1098,24,barzagli a,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
8895,24,eder c,inter,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
