,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,yyss
7301,18,tommasi damiano,roma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
7334,18,tonetto max,sampdoria,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
8142,18,cocco andrea,cagliari,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
3265,18,pratali francesco,empoli,D,3.5,4.5,0.0,-1.0,0.0,0.0,0.0,2005-06
2365,18,gustavo lazzaretti de ara,treviso,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
1576,18,cordoba ivan ramiro,inter,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
1505,18,comotto gianluca,ascoli,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
8147,18,colombo corrado,ascoli,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
5806,18,grella vincenzo,parma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
5865,18,guana roberto,ascoli,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
2475,18,lanna salvatore,chievo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
2952,18,oddo massimo,lazio,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
8168,18,corradi bernardo,parma,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
2393,18,kaladze kakha,milan,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
5793,18,gonzalez mariano nicolas,palermo,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,2005-06
7173,18,stankovic dejan,inter,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
943,18,barzagli andrea,palermo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7223,18,taddei rodrigo,roma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
5010,18,dacourt olivier,roma,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
4942,18,d'agostino gaetano,messina,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,2005-06
981,18,bega francesco,cagliari,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
2968,18,paci massimo,ascoli,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
8042,18,capone andrea,cagliari,A,7.0,6.0,0.0,0.0,0.0,0.0,1.0,2005-06
7084,18,semioli franco,chievo,C,7.0,6.0,0.0,0.0,0.0,0.0,1.0,2005-06
7096,18,serginho dos santos,milan,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
2305,18,grandoni alessandro,livorno,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
5035,18,dalla bona samuele,sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8057,18,caracciolo andrea,palermo,A,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,2005-06
1103,18,bovo cesare,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
5947,18,kaka' ricardo,milan,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,2005-06
2324,18,grosso fabio,palermo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
5942,18,jorgensen martin,fiorentina,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
999,18,belleri manuel,lazio,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
5633,18,gattuso gennaro ivan,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
